Subject-Type	Subject-Type Count	Subject-Type Distinct Count	Property	Object-Type	Object-Type Count	Object-Type tDistinct_count
http://mo-ld.org/resource/mousemine_Publication	1509463	7031	mine_voc:\nhasGXDExpression	http://mo-ld.org/resource/mousemine_GXDExpression	1509463	1509463
http://mo-ld.org/resource/mousemine_SequenceFeature	1509463	14072	mine_voc:\nhasGXDExpression	http://mo-ld.org/resource/mousemine_GXDExpression	1509463	1509463
http://mo-ld.org/resource/mousemine_EMAPATerm	1509463	3561	mine_voc:\nhasGXDExpression	http://mo-ld.org/resource/mousemine_GXDExpression	1509463	1509463
http://mo-ld.org/resource/mousemine_AnatomyTerm	1509463	3561	mine_voc:\nhasGXDExpression	http://mo-ld.org/resource/mousemine_GXDExpression	1509463	1509463
http://mo-ld.org/resource/mousemine_OntologyTerm	1509463	3561	mine_voc:\nhasGXDExpression	http://mo-ld.org/resource/mousemine_GXDExpression	1509463	1509463
http://mo-ld.org/resource/mousemine_GXDExpression	1509463	1509463	mine_voc:\nhasAssayType	mine_type:\nAssayType	1509463	8
http://mo-ld.org/resource/mousemine_GXDExpression	1509463	1509463	mine_voc:\nhasEmaps	mine_type:\nEmaps	1509463	11901
http://mo-ld.org/resource/mousemine_GXDExpression	1509463	1509463	mine_voc:\nhasPublication	http://mo-ld.org/resource/mousemine_Publication	1509463	7031
http://mo-ld.org/resource/mousemine_GXDExpression	1509097	1509097	mine_voc:\nhasSex	mine_type:\nSex	1509097	4
http://mo-ld.org/resource/mousemine_GXDExpression	1504894	1504894	mine_voc:\nhasSequenceFeature	http://mo-ld.org/resource/mousemine_BioEntity	1504894	13899
http://mo-ld.org/resource/mousemine_GXDExpression	1504706	1504706	mine_voc:\nhasSequenceFeature	http://mo-ld.org/resource/mousemine_Gene	1504706	13881
http://mo-ld.org/resource/mousemine_Gene	1504706	13881	mine_voc:\nhasGXDExpression	http://mo-ld.org/resource/mousemine_GXDExpression	1504706	1504706
http://mo-ld.org/resource/mousemine_GXDExpression	1487568	1487568	mine_voc:\nhasProbe	mine_type:\nProbe	1487568	51987
http://mo-ld.org/resource/mousemine_GXDExpression	1484265	1484265	mine_voc:\nhasDetected	mine_type:\nDetected	1484265	2
mold_res:\nmousemine_Author	1476701	370189	mine_voc:\nhasPublication	http://mo-ld.org/resource/mousemine_Publication	1476701	221475
http://mo-ld.org/resource/mousemine_Publication	1476701	221475	mine_voc:\nhasAuthor	http://mo-ld.org/resource/mousemine_Author	1476701	370189
http://mo-ld.org/resource/mousemine_BioEntity	1417006	1417006	mine_voc:\nhasStrain	mold_res:\nmousemine_Strain	1417006	15832
http://mo-ld.org/resource/mousemine_CrossReference	1401996	1401996	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/mousemine_BioEntity	1401996	94966
http://mo-ld.org/resource/mousemine_BioEntity	1401996	94966	mine_voc:\nhasCrossReference	http://mo-ld.org/resource/mousemine_CrossReference	1401996	1401996
mold_res:\nmousemine_Publication	1368969	118477	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/mousemine_SequenceCollection	1368969	747966
http://mo-ld.org/resource/mousemine_SequenceCollection	1368969	747966	mine_voc:\nhasPublication	http://mo-ld.org/resource/mousemine_Publication	1368969	118477
http://mo-ld.org/resource/mousemine_Publication	1364250	118215	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/mousemine_Allele	1364250	746837
http://mo-ld.org/resource/mousemine_Allele	1364250	746837	mine_voc:\nhasPublication	http://mo-ld.org/resource/mousemine_Publication	1364250	118215
http://mo-ld.org/resource/mousemine_BioEntity	1361604	1361604	mine_voc:\nhasStrain	http://mo-ld.org/resource/mousemine_BioEntity	1361604	1912
mold_res:\nmousemine_OntologyRelation	1339911	1339911	mine_voc:\nhasDirect	mine_type:\nDirect	1339911	2
http://mo-ld.org/resource/mousemine_OntologyRelation	1339911	1339911	mine_voc:\nhasRedundant	mine_type:\nRedundant	1339911	2
http://mo-ld.org/resource/mousemine_OntologyRelation	1339911	1339911	mine_voc:\nhasRelationship	mine_type:\nRelationship	1339911	19
mold_res:\nmousemine_BioEntity	1309460	1134067	mine_voc:\nhasDataSet	mold_res:\nmousemine_DataSet	1309460	12
http://mo-ld.org/resource/mousemine_DataSet	1309460	12	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/mousemine_BioEntity	1309460	1134067
http://mo-ld.org/resource/mousemine_Publication	1307763	185156	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/mousemine_SequenceFeature	1307763	127994
http://mo-ld.org/resource/mousemine_SequenceFeature	1307763	127994	mine_voc:\nhasPublication	http://mo-ld.org/resource/mousemine_Publication	1307763	185156
http://mo-ld.org/resource/mousemine_BioEntity	1218883	1218883	mine_voc:\nhasOrganism	mold_res:\nmousemine_Organism	1218883	7
mold_res:\nmousemine_BioEntity	1218819	1218819	mine_voc:\nhasSymbol	mine_type:\nSymbol	1218819	1152181
http://mo-ld.org/resource/mousemine_BioEntity	1216971	1216971	mine_voc:\nhasPrimaryIdentifier	mine_type:\nPrimaryIdentifier	1216971	1216958
mold_res:\nmousemine_OntologyAnnotationEvidence	1188247	1130578	mine_voc:\nhasPublication	http://mo-ld.org/resource/mousemine_Publication	1188247	49796
mold_res:\nmousemine_OntologyAnnotation	1130578	1067990	mine_voc:\nhasOntologyAnnotationEvidence	mold_res:\nmousemine_OntologyAnnotationEvidence	1130578	1130578
http://mo-ld.org/resource/mousemine_OntologyAnnotationEvidence	1130578	1130578	mine_voc:\nhasOntologyAnnotationEvidenceCode	mold_res:\nmousemine_OntologyAnnotationEvidenceCode	1130578	25
http://mo-ld.org/resource/mousemine_BioEntity	1109840	673492	mine_voc:\nhasAllele	http://mo-ld.org/resource/mousemine_SequenceCollection	1109840	710784
http://mo-ld.org/resource/mousemine_BioEntity	1109840	673492	mine_voc:\nhasAllele	http://mo-ld.org/resource/mousemine_Allele	1109840	710784
http://mo-ld.org/resource/mousemine_BioEntity	1109840	673492	mine_voc:\nhasAllele	http://mo-ld.org/resource/mousemine_BioEntity	1109840	710784
http://mo-ld.org/resource/mousemine_GXDExpression	1095656	1095656	mine_voc:\nhasImage	mine_type:\nImage	1095656	158268
http://mo-ld.org/resource/mousemine_Publication	1092772	180254	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/mousemine_Gene	1092772	59060
http://mo-ld.org/resource/mousemine_Gene	1092772	59060	mine_voc:\nhasPublication	http://mo-ld.org/resource/mousemine_Publication	1092772	180254
mold_res:\nmousemine_OntologyAnnotation	1067990	1067990	mine_voc:\nhasDataSet	http://mo-ld.org/resource/mousemine_DataSet	1067990	6
http://mo-ld.org/resource/mousemine_OntologyAnnotation	1067990	1067990	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/mousemine_BioEntity	1067990	127898
http://mo-ld.org/resource/mousemine_OntologyAnnotation	1067990	1067990	mine_voc:\nhasOntologyTerm	mold_res:\nmousemine_OntologyTerm	1067990	30161
