Subject-Type	Subject-Type Count	Subject-Type Distinct Count	Property	Object-Type	Object-Type Count	Object-Type tDistinct_count
http://mo-ld.org/resource/humanmine_Publication	2104080	691161	mine_voc:\nhasBioEntity	mold_res:\nhumanmine_Gene	2104080	82173
http://mo-ld.org/resource/humanmine_Publication	2104080	691161	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/humanmine_SequenceFeature	2104080	82173
http://mo-ld.org/resource/humanmine_Region	2104080	82173	mine_voc:\nhasPublication	http://mo-ld.org/resource/humanmine_Publication	2104080	691161
http://mo-ld.org/resource/humanmine_Gene	2104080	82173	mine_voc:\nhasPublication	http://mo-ld.org/resource/humanmine_Publication	2104080	691161
http://mo-ld.org/resource/humanmine_SequenceFeature	2104080	82173	mine_voc:\nhasPublication	http://mo-ld.org/resource/humanmine_Publication	2104080	691161
http://mo-ld.org/resource/humanmine_BioEntity	2003978	2003978	mine_voc:\nhasSOTerm	http://mo-ld.org/resource/humanmine_OntologyTerm	2003978	17
http://mo-ld.org/resource/humanmine_BioEntity	2003978	2003978	mine_voc:\nhasSOTerm	mold_res:\nhumanmine_SOTerm	2003978	17
http://mo-ld.org/resource/humanmine_SequenceFeature	1949072	1949072	mine_voc:\nhasSOTerm	http://mo-ld.org/resource/humanmine_OntologyTerm	1949072	16
http://mo-ld.org/resource/humanmine_SequenceFeature	1949072	1949072	mine_voc:\nhasSOTerm	http://mo-ld.org/resource/humanmine_SOTerm	1949072	16
http://mo-ld.org/resource/humanmine_BioEntity	1941841	1941841	mine_voc:\nhasSequence	mold_res:\nhumanmine_Sequence	1941841	1941418
http://mo-ld.org/resource/humanmine_Region	1940845	1940845	mine_voc:\nhasOrganism	http://mo-ld.org/resource/humanmine_Organism	1940845	7
http://mo-ld.org/resource/humanmine_Region	1940551	1940551	mine_voc:\nhasPrimaryIdentifier	http://mo-ld.org/mine_type:PrimaryIdentifier	1940551	1940524
http://mo-ld.org/resource/humanmine_Region	1940261	1940261	mine_voc:\nhasSOTerm	http://mo-ld.org/resource/humanmine_OntologyTerm	1940261	15
http://mo-ld.org/resource/humanmine_Region	1940261	1940261	mine_voc:\nhasSOTerm	http://mo-ld.org/resource/humanmine_SOTerm	1940261	15
http://mo-ld.org/resource/humanmine_Region	1783499	1783499	mine_voc:\nhasLength	http://mo-ld.org/mine_type:Length	1783499	67066
http://mo-ld.org/resource/humanmine_Region	1783492	1783492	mine_voc:\nhasSequence	http://mo-ld.org/resource/humanmine_Sequence	1783492	1783492
http://mo-ld.org/resource/humanmine_SequenceFeature	1783492	1783492	mine_voc:\nhasSequence	http://mo-ld.org/resource/humanmine_Sequence	1783492	1783492
http://mo-ld.org/resource/humanmine_Region	1783474	1783474	mine_voc:\nhasChromosome	http://mo-ld.org/resource/humanmine_BioEntity	1783474	24
http://mo-ld.org/resource/humanmine_Region	1783474	1783474	mine_voc:\nhasChromosome	http://mo-ld.org/resource/humanmine_Chromosome	1783474	24
http://mo-ld.org/resource/humanmine_Region	1783474	1783474	mine_voc:\nhasChromosome	http://mo-ld.org/resource/humanmine_Region	1783474	24
http://mo-ld.org/resource/humanmine_Region	1783474	1783474	mine_voc:\nhasChromosome	http://mo-ld.org/resource/humanmine_SequenceFeature	1783474	24
http://mo-ld.org/resource/humanmine_BioEntity	1602324	142390	mine_voc:\nhasExon	http://mo-ld.org/resource/humanmine_BioEntity	1602324	1476599
http://mo-ld.org/resource/humanmine_Region	1602324	142390	mine_voc:\nhasExon	http://mo-ld.org/resource/humanmine_BioEntity	1602324	1476599
http://mo-ld.org/resource/humanmine_SequenceFeature	1602324	142390	mine_voc:\nhasExon	http://mo-ld.org/resource/humanmine_BioEntity	1602324	1476599
http://mo-ld.org/resource/humanmine_BioEntity	1602324	142390	mine_voc:\nhasExon	http://mo-ld.org/resource/humanmine_Region	1602324	1476599
http://mo-ld.org/resource/humanmine_Region	1602324	142390	mine_voc:\nhasExon	http://mo-ld.org/resource/humanmine_Region	1602324	1476599
http://mo-ld.org/resource/humanmine_SequenceFeature	1602324	142390	mine_voc:\nhasExon	http://mo-ld.org/resource/humanmine_Region	1602324	1476599
http://mo-ld.org/resource/humanmine_BioEntity	1602324	142390	mine_voc:\nhasExon	http://mo-ld.org/resource/humanmine_SequenceFeature	1602324	1476599
http://mo-ld.org/resource/humanmine_Region	1602324	142390	mine_voc:\nhasExon	http://mo-ld.org/resource/humanmine_SequenceFeature	1602324	1476599
