Subject-Type	Subject-Type Count	Subject-Type Distinct Count	Property	Object-Type	Object-Type Count	Object-Type tDistinct_count
http://mo-ld.org/resource/flymine_BindingSite	2058	2058	mine_voc:\nhasOrganism	http://mo-ld.org/resource/flymine_Organism	2058	1
http://mo-ld.org/resource/flymine_TFBindingSite	2058	2058	mine_voc:\nhasOrganism	http://mo-ld.org/resource/flymine_Organism	2058	1
http://mo-ld.org/resource/flymine_BindingSite	2058	2058	mine_voc:\nhasChromosome	http://mo-ld.org/resource/flymine_BioEntity	2058	6
http://mo-ld.org/resource/flymine_TFBindingSite	2058	2058	mine_voc:\nhasChromosome	http://mo-ld.org/resource/flymine_BioEntity	2058	6
http://mo-ld.org/resource/flymine_BindingSite	2058	2058	mine_voc:\nhasChromosome	http://mo-ld.org/resource/flymine_SequenceFeature	2058	6
http://mo-ld.org/resource/flymine_TFBindingSite	2058	2058	mine_voc:\nhasChromosome	http://mo-ld.org/resource/flymine_SequenceFeature	2058	6
http://mo-ld.org/resource/flymine_BindingSite	2058	2058	mine_voc:\nhasChromosome	http://mo-ld.org/resource/flymine_Chromosome	2058	6
http://mo-ld.org/resource/flymine_TFBindingSite	2058	2058	mine_voc:\nhasChromosome	http://mo-ld.org/resource/flymine_Chromosome	2058	6
http://mo-ld.org/resource/flymine_BindingSite	2058	2058	mine_voc:\nhasPrimaryIdentifier	http://mo-ld.org/mine_type:PrimaryIdentifier	2058	2058
http://mo-ld.org/resource/flymine_TFBindingSite	2058	2058	mine_voc:\nhasPrimaryIdentifier	http://mo-ld.org/mine_type:PrimaryIdentifier	2058	2058
http://mo-ld.org/resource/flymine_BindingSite	2058	2058	mine_voc:\nhasSecondaryIdentifier	http://mo-ld.org/mine_type:SecondaryIdentifier	2058	2058
http://mo-ld.org/resource/flymine_TFBindingSite	2058	2058	mine_voc:\nhasSecondaryIdentifier	http://mo-ld.org/mine_type:SecondaryIdentifier	2058	2058
http://mo-ld.org/resource/flymine_BindingSite	2058	2058	mine_voc:\nhasPublication	http://mo-ld.org/resource/flymine_Publication	2058	365
http://mo-ld.org/resource/flymine_TFBindingSite	2058	2058	mine_voc:\nhasPublication	http://mo-ld.org/resource/flymine_Publication	2058	365
http://mo-ld.org/resource/flymine_SequenceFeature	2031	206	mine_voc:\nhasRegulatoryRegion	http://mo-ld.org/resource/flymine_TFBindingSite	2031	2031
http://mo-ld.org/resource/flymine_BioEntity	2031	206	mine_voc:\nhasRegulatoryRegion	http://mo-ld.org/resource/flymine_BindingSite	2031	2031
http://mo-ld.org/resource/flymine_BioEntity	2031	206	mine_voc:\nhasRegulatoryRegion	http://mo-ld.org/resource/flymine_TFBindingSite	2031	2031
http://mo-ld.org/resource/flymine_Gene	2031	206	mine_voc:\nhasRegulatoryRegion	http://mo-ld.org/resource/flymine_BindingSite	2031	2031
http://mo-ld.org/resource/flymine_Gene	2031	206	mine_voc:\nhasRegulatoryRegion	http://mo-ld.org/resource/flymine_TFBindingSite	2031	2031
http://mo-ld.org/resource/flymine_SequenceFeature	2031	206	mine_voc:\nhasRegulatoryRegion	http://mo-ld.org/resource/flymine_BindingSite	2031	2031
http://mo-ld.org/resource/flymine_SOTerm	1936	1936	mine_voc:\nhasOntology	http://mo-ld.org/resource/flymine_Ontology	1936	1
http://mo-ld.org/resource/flymine_SOTerm	1935	1935	mine_voc:\nhasObsolete	http://mo-ld.org/mine_type:Obsolete	1935	1
http://mo-ld.org/resource/flymine_SOTerm	1935	1935	mine_voc:\nhasIdentifier	http://mo-ld.org/mine_type:Identifier	1935	1935
mold_res:\nflymine_ECNumber	1732	1732	mine_voc:\nhasIdentifier	http://mo-ld.org/mine_type:Identifier	1732	1732
http://mo-ld.org/resource/flymine_SOTerm	1706	1706	mine_voc:\nhasDescription	http://mo-ld.org/mine_type:Description	1706	1690
mold_res:\nflymine_Pathway	1597	1597	mine_voc:\nhasDataSet	http://mo-ld.org/resource/flymine_DataSet	1597	2
http://mo-ld.org/resource/flymine_Pathway	1597	1597	mine_voc:\nhasIdentifier	http://mo-ld.org/mine_type:Identifier	1597	1200
mold_res:\nflymine_MiRNA	1596	1584	mine_voc:\nhasDataSet	http://mo-ld.org/resource/flymine_DataSet	1596	14
http://mo-ld.org/resource/flymine_DataSet	1596	14	mine_voc:\nhasBioEntity	http://mo-ld.org/resource/flymine_MiRNA	1596	1584
mold_res:\nflymine_TreatmentParameter	1590	1590	mine_voc:\nhasType	http://mo-ld.org/mine_type:Type	1590	9
mold_res:\nflymine_Treatment	1590	477	mine_voc:\nhasTreatmentParameter	http://mo-ld.org/resource/flymine_TreatmentParameter	1590	1590
http://mo-ld.org/resource/flymine_TreatmentParameter	1590	1590	mine_voc:\nhasTreatment	http://mo-ld.org/resource/flymine_Treatment	1590	477
http://mo-ld.org/resource/flymine_MiRNA	1584	1584	mine_voc:\nhasSOTerm	http://mo-ld.org/resource/flymine_OntologyTerm	1584	1
http://mo-ld.org/resource/flymine_MiRNA	1584	1584	mine_voc:\nhasSOTerm	http://mo-ld.org/resource/flymine_SOTerm	1584	1
http://mo-ld.org/resource/flymine_MiRNA	1584	1584	mine_voc:\nhasOrganism	http://mo-ld.org/resource/flymine_Organism	1584	12
http://mo-ld.org/resource/flymine_MiRNA	1584	1584	mine_voc:\nhasPrimaryIdentifier	http://mo-ld.org/mine_type:PrimaryIdentifier	1584	1584
http://mo-ld.org/resource/flymine_MiRNA	1584	1584	mine_voc:\nhasSecondaryIdentifier	http://mo-ld.org/mine_type:SecondaryIdentifier	1584	1584
http://mo-ld.org/resource/flymine_MiRNA	1578	1578	mine_voc:\nhasSequence	http://mo-ld.org/resource/flymine_Sequence	1578	1578
http://mo-ld.org/resource/flymine_MiRNA	1578	1578	mine_voc:\nhasLength	http://mo-ld.org/mine_type:Length	1578	11
